idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
2,Gaillon,5,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Saint-Merri,13,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Arsenal,15,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Notre-Dame,16,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Monnaie,21,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Odeon,22,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Saint-Germain-des-Près,24,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Champs-Elysés,29,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Faubourg-du-Roule,30,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Madeleine,31,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
2,Chaussée d'Antin,34,1 pièce,avant 1946,Meublée,33.6,34.2,23.5,23.9,40.3,41.0
3,Europe,32,1 pièce,avant 1946,Meublée,29.6,30.1,20.7,21.1,35.5,36.1
3,Muette,62,1 pièce,avant 1946,Meublée,29.6,30.1,20.7,21.1,35.5,36.1
3,Porte-Dauphine,63,1 pièce,avant 1946,Meublée,29.6,30.1,20.7,21.1,35.5,36.1
3,Chaillot,64,1 pièce,avant 1946,Meublée,29.6,30.1,20.7,21.1,35.5,36.1
4,Vivienne,6,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Mail,7,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Bonne-Nouvelle,8,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Arts-et-Metiers,9,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Enfants-Rouges,10,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Archives,11,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Sainte-Avoie,12,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Saint-Gervais,14,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Saint-Victor,17,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Val-de-Grace,19,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
4,Sorbonne,20,1 pièce,avant 1946,Meublée,30.9,33.3,21.6,23.3,37.1,40.0
5,Halles,2,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Saint-Georges,33,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Faubourg-Montmartre,35,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Rochechouart,36,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Saint-Vincent-de-Paul,37,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Porte-Saint-Denis,38,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Croulebarbe,52,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
5,Montparnasse,53,1 pièce,avant 1946,Meublée,31.9,32.5,22.3,22.8,38.3,39.0
6,Necker,58,1 pièce,avant 1946,Meublée,29.6,30.4,20.7,21.3,35.5,36.5
6,Ternes,65,1 pièce,avant 1946,Meublée,29.6,30.4,20.7,21.3,35.5,36.5
6,Plaine de Monceau,66,1 pièce,avant 1946,Meublée,29.6,30.4,20.7,21.3,35.5,36.5
7,Grenelle,59,1 pièce,avant 1946,Meublée,29.3,28.8,20.5,20.2,35.2,34.6
